City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,coalinga,36.1397,-120.3602,31.69,39,100,4.72,US,1691705800
150,codrington,-38.2667,141.9667,9.6,86,100,4.8,AU,1691705800
151,colonia,50.9333,6.95,18.87,79,0,0.51,DE,1691705800
152,santa luzia,-19.7697,-43.8514,21.6,56,0,2.57,BR,1691705785
153,lihue,21.9789,-159.3672,30.77,58,0,7.72,US,1691705801
154,akureyri,65.6835,-18.0878,7.96,81,75,3.6,IS,1691705801
155,selebi-phikwe,-21.979,27.8498,12.47,69,1,2.78,BW,1691705801
156,tarnogskiy gorodok,60.4997,43.5761,17.19,88,18,1.75,RU,1691705801
157,tazovsky,67.4667,78.7,5.31,66,1,9.15,RU,1691705801
158,weihai,37.5017,122.1136,24.42,81,95,10.36,CN,1691705801
159,itaocara,-21.6692,-42.0761,22.5,74,18,2.04,BR,1691705801
160,berdigestyakh,62.0989,126.6992,16.09,75,0,3.55,RU,1691705801
161,anadyr,64.75,177.4833,11.28,71,75,4.92,RU,1691705801
162,ketchikan,55.3422,-131.6461,16.26,88,100,4.63,US,1691705801
163,tofol,5.3248,163.0078,30.88,74,75,1.54,FM,1691705802
164,nuuk,64.1835,-51.7216,8.34,87,75,3.6,GL,1691705602
165,berezovo,63.9381,65.0419,9.36,78,43,3.23,RU,1691705802
166,saipan,15.1355,145.701,25.39,94,100,3.6,MP,1691705802
167,arno,60.1167,18.6333,13.77,88,100,4.51,SE,1691705802
168,kariong,-33.44,151.3011,11.55,65,0,0.89,AU,1691705803
169,vegachi,6.7614,-74.7947,27.47,58,75,1.99,CO,1691705803
170,soto la marina,23.7667,-98.2167,37.81,40,1,9.57,MX,1691705803
171,fale old settlement,-9.3852,-171.2468,27.6,78,92,5.35,TK,1691705803
172,zhumysker,49.3333,49.4,24.77,35,3,3.66,KZ,1691705804
173,den burg,53.0542,4.7972,17.22,71,0,2.57,NL,1691705804
174,negotin,44.2264,22.5308,16.06,79,16,2.05,RS,1691705804
175,howrah,22.5892,88.3103,27.0,89,75,3.09,IN,1691705804
176,las heras,-46.5419,-68.9359,7.92,69,64,7.64,AR,1691705804
177,es castell,39.8795,4.2854,25.38,88,20,1.54,ES,1691705804
178,toliara,-23.35,43.6667,17.92,67,0,6.63,MG,1691705804
179,yarmouth,41.7057,-70.2286,25.26,89,75,5.66,US,1691705586
180,lorengau,-2.0226,147.2712,27.24,80,100,7.25,PG,1691705804
181,nishinoomote,30.7333,131.0,26.78,87,98,1.97,JP,1691705804
182,sarh,9.1429,18.3923,22.3,94,66,1.31,TD,1691705804
183,caluula,11.9661,50.7569,30.38,62,100,1.1,SO,1691705804
184,boguchany,58.3814,97.4531,14.55,80,64,1.2,RU,1691705805
185,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,72,0,3.0,RU,1691705668
186,sibirskiy,53.5777,83.7577,18.86,90,100,1.42,RU,1691705805
187,nikolayevsk-on-amure,53.1406,140.73,15.17,79,62,1.43,RU,1691705805
188,olney,39.1532,-77.0669,27.37,85,40,5.14,US,1691705804
189,khandyga,62.6667,135.6,19.16,52,13,1.37,RU,1691705542
190,invercargill,-46.4,168.35,3.34,88,100,3.13,NZ,1691705805
191,puerto lempira,15.2667,-83.7667,31.08,66,40,3.6,HN,1691705719
192,ust-nera,64.5667,143.2,20.15,44,9,0.72,RU,1691705752
193,callao,-12.0667,-77.15,21.16,73,100,5.14,PE,1691705805
194,aasiaat,68.7098,-52.8699,3.18,87,100,3.42,GL,1691705788
195,kingscliff,-28.2667,153.5667,17.65,63,0,2.06,AU,1691705805
196,prado,-17.3411,-39.2208,22.0,79,75,3.25,BR,1691705730
197,kirakira,-10.4544,161.9205,24.9,84,87,6.75,SB,1691705805
198,gadzhiyevo,69.2551,33.3362,16.88,74,0,5.3,RU,1691705806
199,nieuw amsterdam,5.8833,-55.0833,28.9,77,56,5.08,SR,1691705806
200,bonab,37.3404,46.0561,27.99,23,1,7.24,IR,1691705806
201,federacion,-31.0062,-57.8996,19.77,81,100,1.63,AR,1691705806
202,cruzeiro do sul,-29.5128,-51.9853,21.95,88,64,1.04,BR,1691705806
203,roha,18.4333,73.1167,24.99,89,64,1.6,IN,1691705806
204,pisco,-13.7,-76.2167,21.03,73,75,8.75,PE,1691705806
205,teguise,29.0605,-13.564,23.12,78,0,9.77,ES,1691705806
206,buritama,-21.0661,-50.1472,27.87,24,0,2.89,BR,1691705807
207,al jawf,29.5,38.75,30.37,25,3,5.55,SA,1691705807
208,nova olimpia,-14.7972,-57.2881,31.76,21,0,2.41,BR,1691705807
209,manado,1.487,124.8455,24.43,88,20,1.03,ID,1691705531
